user_id,product_id,category_code,brand,price,event_type
0,0,,shiseido,35.79,view
1,1,appliances.environment.water_heater,aqua,33.2,view
2,2,furniture.living_room.sofa,,543.1,view
3,3,computers.notebook,lenovo,251.74,view
4,4,electronics.smartphone,apple,1081.98,view
5,5,computers.desktop,pulser,908.62,view
6,6,,creed,380.96,view
7,7,,luminarc,41.16,view
8,8,apparel.shoes.keds,baden,102.71,view
9,9,electronics.smartphone,huawei,566.01,view
10,10,appliances.kitchen.microwave,elenberg,51.46,view
11,11,electronics.smartphone,samsung,900.64,view
12,12,appliances.environment.water_heater,haier,102.38,view
0,0,,shiseido,35.79,view
13,13,furniture.bedroom.bed,brw,93.18,view
14,14,,,357.79,view
15,15,electronics.video.tv,haier,193.03,view
16,16,appliances.kitchen.mixer,bosch,58.95,view
3,17,computers.notebook,hp,580.89,view
4,18,electronics.smartphone,apple,1747.79,view
17,19,electronics.smartphone,apple,588.77,view
18,20,electronics.audio.headphone,jbl,33.21,view
5,21,computers.desktop,pulser,921.49,view
19,22,electronics.smartphone,xiaomi,197.55,view
20,23,appliances.environment.air_heater,midea,47.62,view
17,19,electronics.smartphone,apple,588.77,view
21,24,,,151.87,view
1,25,appliances.environment.water_heater,ariston,122.18,view
22,26,,redmond,37.98,view
23,27,,gran-stone,67.58,view
8,28,apparel.shoes.keds,baden,102.71,view
13,29,furniture.bedroom.bed,,60.75,view
7,30,,,165.64,view
24,31,,maxwell,32.92,view
25,32,,,399.73,view
26,33,,,203.35,view
27,34,apparel.shoes,respect,51.22,view
28,35,appliances.environment.vacuum,dauscher,33.21,view
12,12,appliances.environment.water_heater,haier,102.38,view
29,36,apparel.shoes.keds,respect,66.67,view
30,37,appliances.kitchen.refrigerators,atlant,283.12,view
31,38,apparel.shoes,burgerschuhe,102.45,view
32,33,,,203.35,view
33,39,appliances.environment.vacuum,elenberg,33.44,view
34,40,,timberk,38.59,view
35,41,appliances.kitchen.washer,samsung,463.15,view
36,42,,triangle,30.89,view
37,43,appliances.kitchen.washer,hotpoint-ariston,275.37,view
38,44,appliances.kitchen.microwave,gorenje,295.99,view
39,45,electronics.smartphone,samsung,254.82,view
40,46,computers.peripherals.monitor,acer,514.79,view
41,47,electronics.smartphone,apple,382.97,view
18,20,electronics.audio.headphone,jbl,33.21,view
42,48,,lucente,188.94,view
4,18,electronics.smartphone,apple,1747.79,view
14,14,,,357.79,view
7,49,,luminarc,128.45,view
43,50,electronics.smartphone,apple,464.13,view
44,51,,lucente,267.19,view
13,52,furniture.bedroom.bed,brw,80.31,view
45,53,,sony,326.62,view
23,54,,gran-stone,64.93,view
46,55,,respect,76.96,view
47,56,electronics.smartphone,apple,1415.48,view
48,57,computers.notebook,hp,320.35,view
22,26,,redmond,37.98,view
39,58,electronics.smartphone,samsung,787.18,view
49,59,electronics.audio.headphone,xiaomi,23.13,view
50,60,electronics.smartphone,samsung,388.81,view
51,61,electronics.smartphone,samsung,1207.71,view
52,62,electronics.audio.headphone,sony,218.77,view
12,63,appliances.environment.water_heater,teploross,90.32,view
28,64,appliances.environment.vacuum,gorenje,90.07,view
53,65,,vitek,72.0,view
22,66,,kelli,36.6,view
54,67,appliances.kitchen.mixer,panasonic,40.8,view
55,68,electronics.smartphone,samsung,286.86,view
3,69,computers.notebook,hp,1512.78,view
48,70,computers.notebook,lenovo,290.61,view
56,71,electronics.smartphone,samsung,130.76,view
57,72,construction.tools.pump,leo,48.9,view
39,58,electronics.smartphone,samsung,787.18,view
2,73,,,257.15,view
45,53,,sony,326.62,view
58,74,electronics.smartphone,samsung,241.19,view
44,75,,lucente,259.21,view
39,58,electronics.smartphone,samsung,787.18,view
59,76,,okuma,32.18,view
9,77,electronics.video.tv,lg,462.25,view
60,78,electronics.smartphone,nokia,159.33,view
14,79,,krause,77.69,view
61,71,electronics.smartphone,samsung,130.76,view
27,80,apparel.shoes.keds,strobbs,31.92,view
54,67,appliances.kitchen.mixer,panasonic,40.8,view
21,81,,,109.4,view
62,82,electronics.smartphone,huawei,278.55,view
1,25,appliances.environment.water_heater,ariston,122.18,view
2,83,,bts,488.82,view
24,84,,redmond,54.03,view
34,40,,timberk,38.59,view
63,85,appliances.environment.water_heater,ariston,133.82,view
64,86,electronics.video.tv,haier,463.31,view
65,87,,vitek,90.61,view
12,63,appliances.environment.water_heater,teploross,90.32,view
66,60,electronics.smartphone,samsung,388.81,view
67,88,electronics.smartphone,apple,975.57,view
